################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0285083718580236E-01 a       165     0     8     1    11
  8.6101236024512251E-01 a       166     0     8     1    12
 -1.4860082875710129E-01 a       167     0     8     1    13
 -1.3298213583404266E+00 a       168     0     8     1    14
  8.3362979058087572E-01 a       169     0     8     1    15
 -5.1068051091353303E-02 a       170     0     8     1    16
 -3.5148448473722999E-01 a       171     0     8     1    17
  2.5351000868483931E-01 a       172     0     8     1    18
 -5.5108084587066808E-01 a       173     0     8     1    19
  4.6937998121401830E-01 a       174     0     8     1    20
  2.9538559426607114E-01 a       175     0     8     1    21
 -8.5423507973126989E-01 a       176     0     8     1    22
  3.4157774863911500E-01 a       177     0     9     1     1
  5.9662056768153071E-01 a       178     0     9     1     2
 -6.3232172714288626E-01 a       179     0     9     1     3
  1.5303966185804541E-01 a       180     0     9     1     4
 -3.2202857373045390E-01 a       181     0     9     1     5
  2.5610697685350176E-01 a       182     0     9     1     6
 -8.7885484275894418E-02 a       183     0     9     1     7
 -1.3800088348800319E-02 a       184     0     9     1     8
 -5.5324511230879378E-02 a       185     0     9     1     9
  9.4078218640437195E-01 a       186     0     9     1    10
  5.2149281620151766E-01 a       187     0     9     1    11
  1.1465733155660959E-01 a       188     0     9     1    12
 -1.6942013017224064E-01 a       189     0     9     1    13
  3.3743788910775763E-01 a       190     0     9     1    14
 -2.0933421858854058E-02 a       191     0     9     1    15
 -7.4496364596199915E-01 a       192     0     9     1    16
 -4.8978012265692755E-01 a       193     0     9     1    17
 -7.7011924855181557E-01 a       194     0     9     1    18
 -1.6563643989580323E-01 a       195     0     9     1    19
 -5.1679068491669722E-01 a       196     0     9     1    20
 -7.2741054667035043E-01 a       197     0     9     1    21
  2.9266182298713267E-01 a       198     0     9     1    22
  9.7507057743095060E-01 a       199     0    10     1     1
  1.5289662738993088E+00 a       200     0    10     1     2
 -1.8593314869053157E+00 a       201     0    10     1     3
  1.2591626400286617E+00 a       202     0    10     1     4
 -1.1464529059779532E-01 a       203     0    10     1     5
 -7.9926676116181039E-01 a       204     0    10     1     6
  2.5161331373640422E-01 a       205     0    10     1     7
  9.3944378838833209E-01 a       206     0    10     1     8
 -1.1888893123422171E+00 a       207     0    10     1     9
  2.8539226409807011E-01 a       208     0    10     1    10
  4.0870442028898324E-01 a       209     0    10     1    11
  3.7020864247544555E-01 a       210     0    10     1    12
 -6.9654695351579032E-01 a       211     0    10     1    13
  2.9391210421981045E-01 a       212     0    10     1    14
 -1.6468995586241924E+00 a       213     0    10     1    15
 -9.6620694698928630E-02 a       214     0    10     1    16
  1.2306414272659487E+00 a       215     0    10     1    17
 -6.9704490758587356E-01 a       216     0    10     1    18
 -1.0645966369870968E-01 a       217     0    10     1    19
 -3.6951849408398918E-01 a       218     0    10     1    20
 -6.8063810811920655E-01 a       219     0    10     1    21
 -9.8426284861438174E-01 a       220     0    10     1    22
 -1.5390557150032580E+00 a       221     0    11     1     1
 -1.1630398798666555E-02 a       222     0    11     1     2
  3.7415790461042170E-01 a       223     0    11     1     3
 -1.1254620711596292E-02 a       224     0    11     1     4
 -7.8207030345531037E-01 a       225     0    11     1     5
 -3.3833304340053366E-01 a       226     0    11     1     6
 -7.5104170040055707E-01 a       227     0    11     1     7
  7.3001321590519941E-01 a       228     0    11     1     8
  1.7237736883005417E+00 a       229     0    11     1     9
  3.1368889411870954E-01 a       230     0    11     1    10
  2.2345889218918127E-01 a       231     0    11     1    11
 -7.5707848162547831E-01 a       232     0    11     1    12
 -2.0556933356892064E+00 a       233     0    11     1    13
 -8.4744515410176302E-01 a       234     0    11     1    14
  1.1934303588621349E+00 a       235     0    11     1    15
  5.9251247554171049E-01 a       236     0    11     1    16
 -5.9071174472413734E-01 a       237     0    11     1    17
  6.1755710184075852E-01 a       238     0    11     1    18
  3.0847658474538281E-01 a       239     0    11     1    19
 -1.0312729846754691E+00 a       240     0    11     1    20
  2.3803956611933325E-01 a       241     0    11     1    21
  8.8919939957502969E-02 a       242     0    11     1    22
  1.7336182040366426E+00 a       243     0    12     1     1
  1.8240541381552311E+00 a       244     0    12     1     2
 -3.1352480631855661E-01 a       245     0    12     1     3
  4.9032091906052910E-01 a       246     0    12     1     4
  8.5363138250636039E-01 a       247     0    12     1     5
  2.4908060731424486E+00 a       248     0    12     1     6
 -7.0671811301329801E-01 a       249     0    12     1     7
 -4.3601076171265812E-01 a       250     0    12     1     8
  2.1653365717694242E+00 a       251     0    12     1     9
  9.4373240299282357E-01 a       252     0    12     1    10
  1.0952355675837266E+00 a       253     0    12     1    11
  5.1738042233072223E-01 a       254     0    12     1    12
  7.9227420023923212E-01 a       255     0    12     1    13
 -3.8449527385816190E-01 a       256     0    12     1    14
 -5.9517181637886374E-01 a       257     0    12     1    15
  1.1119808734862988E+00 a       258     0    12     1    16
  4.1086589873629348E-01 a       259     0    12     1    17
  4.0220609551971931E-01 a       260     0    12     1    18
  6.8483079913173173E-01 a       261     0    12     1    19
  6.9736648022022910E-02 a       262     0    12     1    20
  1.1387885773884510E+00 a       263     0    12     1    21
  9.5444887885092333E-01 a       264     0    12     1    22
  1.0073153976222946E+00 a       265     0    13     1     1
  1.0205821542777947E-01 a       266     0    13     1     2
  5.2430892298547016E-01 a       267     0    13     1     3
 -1.1159002021150484E+00 a       268     0    13     1     4
  6.8525377874155496E-02 a       269     0    13     1     5
  1.1339648394128674E+00 a       270     0    13     1     6
 -1.6555084221250911E+00 a       271     0    13     1     7
 -2.2643969875475026E-01 a       272     0    13     1     8
 -1.8320920478546947E+00 a       273     0    13     1     9
  1.6057883373993254E-01 a       274     0    13     1    10
  1.4120528320219221E+00 a       275     0    13     1    11
 -9.3696801904226981E-02 a       276     0    13     1    12
  9.8398268726307603E-01 a       277     0    13     1    13
 -2.5543367802101352E-01 a       278     0    13     1    14
  2.1453984049684411E+00 a       279     0    13     1    15
  1.7571232982334282E+00 a       280     0    13     1    16
  1.1223310457521930E-01 a       281     0    13     1    17
  2.1115060871700267E-01 a       282     0    13     1    18
  9.5901260397512400E-01 a       283     0    13     1    19
  1.0640554298452685E+00 a       284     0    13     1    20
  2.9044782978636010E+00 a       285     0    13     1    21
  2.0968015825156372E+00 a       286     0    13     1    22
 -4.0352423937611820E-01 a       287     0    14     1     1
  1.0969999818948424E+00 a       288     0    14     1     2
  2.1509467755974945E+00 a       289     0    14     1     3
 -1.6122016284579288E+00 a       290     0    14     1     4
 -1.2843482916725786E+00 a       291     0    14     1     5
 -1.4812079131359519E+00 a       292     0    14     1     6
  2.3393882611927745E+00 a       293     0    14     1     7
 -2.1410312799261735E-01 a       294     0    14     1     8
 -1.5416406488202314E+00 a       295     0    14     1     9
 -1.4721901412769893E+00 a       296     0    14     1    10
 -9.9976992196109893E-01 a       297     0    14     1    11
 -2.5244743700925536E+00 a       298     0    14     1    12
  3.3661698377679661E-01 a       299     0    14     1    13
 -6.1365880141109908E-01 a       300     0    14     1    14
  8.6308390670326696E-01 a       301     0    14     1    15
 -9.9442217320907889E-01 a       302     0    14     1    16
 -2.9601549797228799E-01 a       303     0    14     1    17
  5.7858736946568401E-01 a       304     0    14     1    18
  1.2925620514614282E+00 a       305     0    14     1    19
  8.8620159358215855E-01 a       306     0    14     1    20
  6.8661442254261662E-01 a       307     0    14     1    21
  1.3036231526327720E+00 a       308     0    14     1    22
  1.1628048843390318E-01 a       309     0    15     1     1
  5.3652504339696061E-01 a       310     0    15     1     2
  7.1919889228108058E-01 a       311     0    15     1     3
  4.2533528594398845E-01 a       312     0    15     1     4
 -9.7419434244571490E-01 a       313     0    15     1     5
  1.6013244978354793E-01 a       314     0    15     1     6
 -7.9676967767404216E-01 a       315     0    15     1     7
  3.6521183091695825E-01 a       316     0    15     1     8
 -1.4726913407811768E+00 a       317     0    15     1     9
 -8.0630238335915749E-01 a       318     0    15     1    10
  1.4350495803141805E-01 a       319     0    15     1    11
  8.7566819709110719E-02 a       320     0    15     1    12
  3.0412531736883003E-01 a       321     0    15     1    13
 -1.9964481329316135E+00 a       322     0    15     1    14
 -1.4787684144825282E+00 a       323     0    15     1    15
  5.8922062933924946E-01 a       324     0    15     1    16
 -8.9573855403246894E-01 a       325     0    15     1    17
 -8.2041402251073325E-01 a       326     0    15     1    18
 -3.2012811259653784E-01 a       327     0    15     1    19
  1.0356617708830012E+00 a       328     0    15     1    20
  1.4490346609169285E+00 a       329     0    15     1    21
 -7.4913885889949669E-02 a       330     0    15     1    22
 -1.7534193846003454E+00 a       331     0    16     1     1
 -1.5766260166896062E-01 a       332     0    16     1     2
  8.9981452337594747E-01 a       333     0    16     1     3
 -2.9053759689014771E+00 a       334     0    16     1     4
 -6.2497971064642510E-01 a       335     0    16     1     5
  8.2094558996843325E-01 a       336     0    16     1     6
  3.4998133125435649E-01 a       337     0    16     1     7
 -1.1586658283840970E-01 a       338     0    16     1     8
  5.0666565553910541E+00 a       339     0    16     1     9
 -2.0904101001451023E+00 a       340     0    16     1    10
  1.8463945080042801E-01 a       341     0    16     1    11
 -6.8009332892659524E-01 a       342     0    16     1    12
 -8.5418571451571346E-01 a       343     0    16     1    13
 -1.2530038043118379E+00 a       344     0    16     1    14
 -1.7158477599412336E+00 a       345     0    16     1    15
 -7.7331044381585345E-01 a       346     0    16     1    16
  7.9460998234246294E-01 a       347     0    16     1    17
 -6.8668477698255004E-01 a       348     0    16     1    18
 -7.4917155852711925E-01 a       349     0    16     1    19
  1.0429873820907369E+00 a       350     0    16     1    20
 -1.7150971580543208E+00 a       351     0    16     1    21
 -2.8039174938535277E-01 a       352     0    16     1    22
  1.4124212357515889E-01 a       353     0    17     1     1
  1.0852878596282341E-01 a       354     0    17     1     2
  1.3163230249733533E+00 a       355     0    17     1     3
 -8.2008045023708342E-01 a       356     0    17     1     4
  5.0258782724121287E-01 a       357     0    17     1     5
 -1.1881272799533493E+00 a       358     0    17     1     6
 -2.0490617176718469E+00 a       359     0    17     1     7
 -4.3171241102489466E-01 a       360     0    17     1     8
 -2.0468452565992381E+00 a       361     0    17     1     9
  4.0370260497635196E-01 a       362     0    17     1    10
 -5.8509459121342589E-01 a       363     0    17     1    11
  4.6133633372844700E-02 a       364     0    17     1    12
  1.0480256400202616E-01 a       365     0    17     1    13
  2.9323356857926680E-01 a       366     0    17     1    14
 -1.8885044610742527E+00 a       367     0    17     1    15
  1.1887677480810417E+00 a       368     0    17     1    16
 -1.4499913382715772E+00 a       369     0    17     1    17
 -1.9590494381226056E-01 a       370     0    17     1    18
  1.1304377727137456E+00 a       371     0    17     1    19
  9.3141637833902879E-01 a       372     0    17     1    20
  9.0380471736477064E-01 a       373     0    17     1    21
  1.0341182998494778E+00 a       374     0    17     1    22
 -7.7173007560607654E-01 a       375     0    18     1     1
 -5.3701893603793203E-02 a       376     0    18     1     2
 -5.2648821173935412E-01 a       377     0    18     1     3
 -4.6242165724912452E+00 a       378     0    18     1     4
  1.0100784451716527E+00 a       379     0    18     1     5
  1.1116122821726240E+00 a       380     0    18     1     6
 -1.9690044324788845E+00 a       381     0    18     1     7
 -4.8280531230661365E+00 a       382     0    18     1     8
  3.7900096914854160E+00 a       383     0    18     1     9
  1.5900742774709815E+00 a       384     0    18     1    10
 -6.9627571383912812E-01 a       385     0    18     1    11
 -7.9513892791690155E-01 a       386     0    18     1    12
 -1.8176321196914855E-01 a       387     0    18     1    13
  2.7283982161885043E+00 a       388     0    18     1    14
 -5.8173533016198287E-01 a       389     0    18     1    15
  2.2058208806969919E+00 a       390     0    18     1    16
  1.1837288045833578E+00 a       391     0    18     1    17
 -2.3823689320088395E-02 a       392     0    18     1    18
  8.0569552123170429E-01 a       393     0    18     1    19
