################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1        122   5.0903776985510414E-10   1.4952703548953450E-01   1.5507987276625761E-02   2.2229712420504779E-02
         1        123   3.6253920170508751E-07   8.9979997806240641E-01   4.4311968871842834E-02   1.1375255823290249E-01
         1        124   4.0878195904801306E-12   2.3063859771189812E-01   1.2612269025689706E-02   2.4226378795542111E-02
         1        125   4.2090019013403032E-03   1.8440791911655921E-01   6.5181962792749890E-02   3.5106289812583957E-02
         1        126   8.5034630406762096E-02   7.0684621058130925E-01   3.2495975513345993E-01   1.1884712177756611E-01
         1        127   1.2613787436822807E-01   6.6431322053977615E-01   2.8378696861008229E-01   8.4891477937154444E-02
         1        128   1.1921376356469350E-06   1.2321302290240571E-01   4.9895085621436040E-02   1.9308460115880915E-02
         2          1   4.7900715777474904E-03   8.7662862457519142E-01   4.6031695120328708E-01   2.0698334220750783E-01
         2          2   2.2818131075496373E-01   8.7271373658106044E-01   5.4072864640089502E-01   1.7656527662782795E-01
         2          3   0.0000000000000000E+00   1.5638361176665969E-01   5.1802096060663161E-02   3.8291013105852430E-02
         2          4   4.6222425131918054E-03   1.6754442980805551E-01   8.1239028030362287E-02   2.9536113905762679E-02
         2          5   5.2712669086137927E-02   1.7200083870116284E-01   8.9544623197011813E-02   1.5774553828836125E-02
         2          6   0.0000000000000000E+00   6.0033661113496589E-02   1.6000230105458757E-02   1.2048306997703404E-02
         2          7   1.2822542318760434E-03   1.8488262633795682E-01   7.2298022204100379E-02   3.0932035001050989E-02
         2          8   4.7115589731938835E-02   1.6994244268063935E-01   8.5599058502461398E-02   1.5978514290994384E-02
         2          9   7.1616361645451029E-04   1.0791695857204664E-01   3.6528450887354715E-02   1.7344733118334864E-02
         2         10   1.0097694469915465E-02   9.2930678650759324E-02   2.9805489153345417E-02   1.0547698892171890E-02
         2         11   0.0000000000000000E+00   2.7879570515307310E-02   6.1398302832578111E-03   6.1337388661210765E-03
         2         12   7.6362036761662585E-31   2.1700543189648855E-02   5.3361245234561268E-03   4.5264645039127874E-03
         2         13   9.9147975723514099E-27   1.3369730338102059E-01   4.0528790612309323E-02   3.3530298321162617E-02
         2         14   5.6792457241822876E-05   1.0635258937317526E-02   3.7002446910257025E-03   2.2930148623369145E-03
         2         15   5.9329604344415418E-23   3.8583451371252964E-01   1.4488791808764589E-01   1.1823367541942074E-01
         2         16   1.2323896515348497E-03   8.1055121234181945E-02   3.3903856793612519E-02   1.9176384676711816E-02
         2         17   1.6693809427115283E-19   5.2412538259675434E-01   2.4514608677945171E-01   1.9943800697717756E-01
         2         18   1.2554202034688499E-02   3.1561030508198812E-01   1.4948446925141601E-01   7.6468129568743701E-02
         2         19   0.0000000000000000E+00   3.4628297801681050E-02   2.6873000609176486E-03   4.9092217623227675E-03
         2         20   2.2396755022034361E-16   4.3818350869935030E-01   1.9834035709951051E-01   1.6009558993435802E-01
         2         21   6.0182474642581731E-02   5.8417475705407040E-01   3.1881349865702224E-01   1.4753276886382019E-01
         2         22   0.0000000000000000E+00   1.4793409807897595E-01   1.5700466671764390E-02   2.5828587489543815E-02
         2         23   1.3915850490243184E-13   2.6317626999240729E-01   9.3982593983866172E-02   5.9721394148538491E-02
         2         24   1.3495101599664786E-01   5.4531895734117797E-01   3.3104319114743763E-01   1.4225106932872628E-01
